PartyId,total_cytd_outflow,total_cytd_inflow,has_large_withdrawal,prob_outflow_risk,direction_flag,action_priority_score
3023452,330745.14,0.0,0,0.1706,Neutral,0.1706
6157475,330021.0,0.0,0,0.1219,Neutral,0.1223
2905839,329594.49,0.0,0,0.0962,Neutral,0.0967
184709,329123.49,0.0,1,0.9932,Outflow Risk,0.9932
4208403,328950.0,0.0,0,0.1619,Neutral,0.1624
19062844,328950.0,0.0,0,0.0796,Neutral,0.08
3078514,328258.51,0.0,1,0.9898,Outflow Risk,0.9898
6241174,327934.93,0.0,0,0.0944,Neutral,0.0947
25280333,327750.0,0.0,0,0.1561,Neutral,0.1573
2838692,327564.0,0.0,0,0.0933,Neutral,0.0933
5811123,326585.84,0.0,0,0.1342,Neutral,0.1347
4435504,326282.31,0.0,0,0.0861,Neutral,0.0866
87314,326168.26,0.0,0,0.2573,Neutral,0.2574
24498,325827.96,0.0,1,0.9896,Outflow Risk,0.9896
19065050,325500.0,0.0,0,0.0806,Neutral,0.0807
24172468,325431.0,0.0,0,0.1553,Neutral,0.1554
25432041,325093.66,0.0,0,0.1204,Neutral,0.1212
1915005,325000.0,0.0,1,0.9891,Outflow Risk,0.9891
4634021,325000.0,0.0,0,0.0738,Neutral,0.0739
2767417,324790.18,0.0,0,0.0956,Neutral,0.096
19063624,324721.92,0.0,0,0.0808,Neutral,0.0813
1169598,324695.17,0.0,0,0.1077,Neutral,0.1082
4894794,323750.0,0.0,0,0.1042,Neutral,0.1046
833625,323400.0,0.0,0,0.0851,Neutral,0.0856
1187128,323400.0,0.0,0,0.0866,Neutral,0.0871
4563918,322621.12,0.0,0,0.0836,Neutral,0.084
5743427,322388.07,0.0,1,0.968,Outflow Risk,0.968
15568512,322000.0,0.0,0,0.087,Neutral,0.0871
5670521,321875.0,0.0,1,0.9868,Outflow Risk,0.9868
28662343,320910.839999999,0.0,0,0.1794,Neutral,0.1804
14658706,320495.75,0.0,0,0.254,Neutral,0.255
1531779,320000.0,0.0,0,0.1166,Neutral,0.1167
3588297,319951.72,0.0,0,0.0877,Neutral,0.0882
1778739,319038.72,0.0,0,0.2039,Neutral,0.204
23026388,318967.05,0.0,0,0.0664,Neutral,0.0664
4095994,318500.0,0.0,0,0.1613,Neutral,0.1618
4016895,318125.1,0.0,0,0.0645,Neutral,0.065
1071778,317888.91,0.0,0,0.134,Neutral,0.1355
2844687,317809.59,0.0,0,0.0745,Neutral,0.0745
5574326,317297.0,0.0,0,0.0812,Neutral,0.0817
18070092,317177.45,0.0,1,0.9973,Outflow Risk,0.9973
4201311,316800.0,0.0,0,0.1055,Neutral,0.1057
23119094,316705.17,0.0,0,0.0888,Neutral,0.0888
5924566,316579.98,0.0,0,0.0813,Neutral,0.0815
2780557,316545.48,0.0,0,0.2051,Neutral,0.2055
4023203,316527.37,0.0,0,0.0344,Neutral,0.2473
901713,316264.86,0.0,0,0.0808,Neutral,0.0812
1405499,316251.0,0.0,0,0.1344,Neutral,0.1349
1665284,316140.25,0.0,0,0.0771,Neutral,0.0771
3848174,315500.0,0.0,0,0.0859,Neutral,0.086
5968657,315200.0,0.0,0,0.1309,Neutral,0.131
29874923,315086.78,0.0,1,0.994,Outflow Risk,0.994
243173,314873.24,0.0,0,0.0808,Neutral,0.0809
22580501,314723.27,0.0,0,0.0714,Neutral,0.0718
5966283,314700.0,0.0,0,0.0807,Neutral,0.0807
3258166,314414.11,0.0,0,0.0637,Neutral,0.0638
5241516,313831.68,0.0,0,0.1011,Neutral,0.1011
1605136,313821.0,0.0,0,0.091,Neutral,0.0911
1117167,313768.29,0.0,0,0.1019,Neutral,0.1023
21871019,313731.05,0.0,1,0.996,Outflow Risk,0.996
155785,313125.84,0.0,0,0.1564,Neutral,0.157
3242743,313025.55,0.0,0,0.0877,Neutral,0.0877
15730397,312667.78,0.0,0,0.0883,Neutral,0.0888
22783580,312599.64,0.0,0,0.0417,Neutral,0.0419
21944489,311599.28,0.0,0,0.1178,Neutral,0.1178
2879792,311176.64,0.0,0,0.0906,Neutral,0.0912
12307758,310960.47,0.0,0,0.1311,Neutral,0.1315
24382792,310905.92,0.0,0,0.1456,Neutral,0.1465
4329370,310864.68,0.0,0,0.0823,Neutral,0.0823
3457493,310781.39,0.0,0,0.1376,Neutral,0.1376
5555060,310666.68,0.0,1,0.9715,Outflow Risk,0.9715
1195355,309981.0,0.0,0,0.1406,Neutral,0.1406
5574389,309778.0,0.0,0,0.0837,Neutral,0.0842
