PartyId,direction_flag,prob_consolidation,prob_outflow_risk,prob_neutral,action_priority_score,total_external_balance,total_cytd_inflow,total_cytd_outflow,has_large_withdrawal,has_rollover,has_external_account,tenure_years,PartyAge
16789649,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,198834.76,0.0,0.0,0,0,1,4.78082191780821,43
2573934,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,464804.4,0.0,0.0,0,0,1,12.3369863,43
193964,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,401020.54,30600.0,0.0,0,0,1,21.39726027,61
5634356,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,285067.06,0.0,0.0,0,0,1,6.92054794520547,45
4236128,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,668550.25,0.0,0.0,0,0,1,7.97534246575342,35
4703064,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,1060949.56,45000.0,2500.0,0,0,1,7.47671232876712,66
11785694,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,402764.42,0.0,0.0,0,0,1,6.30684931506849,45
17962244,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,536622.679999999,0.0,0.0,0,0,1,4.3972602739726,34
3813772,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,2947538.99,0.0,0.0,0,0,1,8.57534246575342,46
14203330,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,1830342.9,0.0,0.0,0,0,1,9.18082191780821,56
17804374,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,164137.38,0.0,0.0,0,0,1,4.36986301369863,51
4613821,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,985420.56,0.0,0.0,0,0,1,7.4958904109589,57
22041545,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,3602922.99,0.0,0.0,0,0,1,3.31506849315068,58
6078440,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,488447.4,0.0,0.0,0,0,1,11.5698630136986,35
23281040,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,1075047.36999999,0.0,0.0,0,0,1,2.90958904109589,57
11886138,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,498414.53,89249.49,0.0,0,0,1,6.24931506849315,46
6131438,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,980820.84,0.0,914.88,0,0,1,20.517808219178,46
18109352,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,1494602.91,0.0,0.0,0,0,1,7.32602739726027,40
4691854,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,685480.27,0.0,0.0,0,0,1,7.48493150684931,60
16343202,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,83454.3199999999,0.0,0.0,0,0,1,4.93424657534246,51
16135210,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,1445986.23,0.0,0.0,0,0,1,7.42739726027397,46
4651741,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,989122.59,0.0,29285.44,0,0,1,7.52328767123287,57
3508435,Consolidation Opportunity,0.9991,0.0,0.0009,0.7993,1080997.71,0.0,0.0,0,0,1,9.4,56
5486548,Consolidation Opportunity,0.999,0.0,0.0009,0.7992,305533.82,0.0,0.0,0,0,1,7.44383561643835,59
5670589,Consolidation Opportunity,0.999,0.0,0.001,0.7992,699448.01,0.0,0.0,0,0,1,7.30958904109589,28
4585914,Consolidation Opportunity,0.999,0.0,0.001,0.7992,505050.39,0.0,0.0,0,0,1,7.61917808219178,37
2677724,Consolidation Opportunity,0.9986,0.0003,0.0011,0.7992,452131.63,0.0,0.0,0,0,1,15.67123288,36
4670096,Consolidation Opportunity,0.999,0.0,0.001,0.7992,161718.69,0.0,0.0,0,0,1,7.50136986301369,56
1463816,Consolidation Opportunity,0.999,0.0,0.001,0.7992,195800.16,0.0,0.0,0,0,1,6.810958904,48
3322578,Consolidation Opportunity,0.999,0.0,0.001,0.7992,3340853.42,0.0,0.0,0,0,1,24.4712328767123,56
18693736,Consolidation Opportunity,0.999,0.0,0.001,0.7992,1273000.45,0.0,0.0,0,0,1,4.12876712328767,51
2204958,Consolidation Opportunity,0.9985,0.0004,0.0011,0.7992,2247815.66,0.0,0.0,0,0,1,13.41917808,60
346315,Consolidation Opportunity,0.999,0.0,0.001,0.7992,524607.34,0.0,0.0,0,0,1,9.008219178,29
5574031,Consolidation Opportunity,0.999,0.0,0.001,0.7992,562826.759999999,0.0,0.0,0,0,1,20.7095890410958,60
1113593,Consolidation Opportunity,0.999,0.0,0.001,0.7992,133640.73,0.0,0.0,0,0,1,16.93424658,41
11540296,Consolidation Opportunity,0.999,0.0,0.001,0.7992,129935.24,0.0,0.0,0,0,1,6.47945205479452,37
5683551,Consolidation Opportunity,0.999,0.0,0.001,0.7992,738994.59,0.0,0.0,0,0,1,7.16986301369863,47
4610809,Consolidation Opportunity,0.999,0.0,0.001,0.7992,1796083.39,0.0,0.0,0,0,1,7.52054794520548,54
17947406,Consolidation Opportunity,0.999,0.0,0.001,0.7992,52727.34,78631.74,0.0,0,0,1,4.41643835616438,27
2624981,Consolidation Opportunity,0.999,0.0,0.001,0.7992,2160902.45,0.0,0.0,0,0,1,11.46575342,43
287698,Consolidation Opportunity,0.999,0.0,0.001,0.7992,679412.58,0.0,16949.44,0,0,1,14.84657534,59
762578,Consolidation Opportunity,0.999,0.0,0.001,0.7992,440217.38,0.0,0.0,0,0,1,17.68767123,48
22764507,Consolidation Opportunity,0.999,0.0,0.001,0.7992,761040.75,0.0,0.0,0,0,1,3.22465753424657,30
15223853,Consolidation Opportunity,0.999,0.0,0.001,0.7992,2847158.28,0.0,0.0,0,0,1,16.7753424657534,42
25805433,Consolidation Opportunity,0.999,0.0,0.001,0.7992,132639.5,0.0,0.0,0,0,1,2.37808219178082,41
5647773,Consolidation Opportunity,0.999,0.0,0.001,0.7992,510556.56,0.0,0.0,0,0,1,7.34520547945205,46
4636144,Consolidation Opportunity,0.999,0.0,0.001,0.7992,248332.17,7000.14,7000.14,0,0,1,7.53972602739726,42
16356675,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,1096063.51,0.0,0.0,0,0,1,20.0739726027397,36
4656936,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,99667.62,0.0,0.0,0,0,1,7.50136986301369,56
24831520,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,353656.23,0.0,0.0,0,0,1,2.61369863013698,31
6006935,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,1022038.21,0.0,0.0,0,0,1,26.1643835616438,54
25283619,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,456104.89,0.0,0.0,0,0,1,2.56712328767123,58
22936597,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,90664.65,0.0,0.0,0,0,1,3.05479452054794,42
13294291,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,74171.05,0.0,0.0,0,0,1,5.6931506849315,52
12464181,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,652613.31,0.0,0.0,0,0,1,5.98356164383561,60
22925124,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,828882.38,0.0,0.0,0,0,1,3.12054794520547,51
6082316,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,4924013.8,0.0,0.0,0,0,1,29.0958904109589,56
4340559,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,92946.55,0.0,0.0,0,0,1,25.6465753424657,42
18492241,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,576444.31,0.0,0.0,0,0,1,4.24109589041095,48
25466449,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,383763.23,0.0,12181.17,0,0,1,2.40273972602739,37
1572039,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,565405.97,0.0,0.0,0,0,1,15.44383562,53
3026788,Consolidation Opportunity,0.9989,0.0,0.0011,0.7991,1675610.4,454796.81,0.0,0,1,1,10.89863014,47
