PartyId,PartyAge,n_accounts_named_on,associated_portfolio_total,any_owner_70plus,any_owner_80plus,n_advisory_accts,in_client_household,conversion_probability,priority_tier,primary_role,roles_held,rank
4780,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,153
4580174,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,154
10945998,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,155
14589991,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,156
731711,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,157
4373288,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,158
26937740,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,159
15412859,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,160
4701042,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,161
35297820,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Transfer on Death (TOD) Bene Primary,Transfer on Death (TOD) Bene Primary,162
2630068,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,163
35297819,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,164
10755634,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,165
10757633,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,166
5754361,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,167
10882174,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,168
3948305,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,169
10769776,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,170
10768354,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,171
10997050,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,172
6086971,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,173
6872,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,174
6086972,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,175
25389268,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,176
5895839,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,177
11033046,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,178
10811755,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,179
6052312,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,180
12659742,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,181
16972785,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,182
5711943,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,183
1960485,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,184
12035371,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,"Primary Beneficiary, Transfer on Death (TOD) Bene Primary",185
1830180,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Contingent Beneficiary,Contingent Beneficiary,186
10873075,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,187
10871964,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,188
10871009,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,189
10870953,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,190
4482576,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,191
2495918,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,192
10977944,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,193
4301485,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,194
10783620,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,,,195
4177318,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Trusted Contact,Trusted Contact,196
16993375,57.0,0.0,0.0,0.0,0.0,0.0,1.0,0.96630615,Very High,Primary Beneficiary,Primary Beneficiary,197
